source_label	target_label	freq	synergy_max	synergy_min	synergy_mean	env_list
Skermanella	Cellvibrio	1	3.947459643111667e-31	3.947459643111667e-31	3.947459643111667e-31	['Animal_distal_gut']
Skermanella	Opitutus	1	7.401486830834373e-32	7.401486830834373e-32	7.401486830834373e-32	['Plant_surface']
Skermanella	Rickettsiella	1	1.55753149095341e-05	7.401486830834373e-32	3.11506298190682e-06	['Plant_surface']
Skermanella	Polynucleobacter	1	3.700743415417188e-31	7.401486830834373e-32	2.405483220021172e-31	['Animal_distal_gut']
Skermanella	Nitrospira	1	3.947459643111667e-31	9.868649107779168e-32	2.220446049250313e-31	['Animal_distal_gut']
Skermanella	Planctomyces	1	1.845437383154713e-15	4.934324553889584e-32	6.151457943849045e-16	['Plant_surface']
Skermanella	Corallococcus exiguus	1	2.96059473233375e-31	4.934324553889584e-32	1.7270135938613543e-31	['Animal_distal_gut']
Skermanella	Opitutus	1	1.480297366166875e-31	4.934324553889584e-32	9.594519965896412e-32	['Plant_surface']
Skermanella	Synechococcus	1	2.3684757858670005e-30	2.3684757858670005e-30	2.3684757858670005e-30	['Animal_distal_gut']
Skermanella	5-7N15	1	1.233581138472396e-31	2.467162276944792e-32	6.414621920056459e-32	['Animal_distal_gut']
Skermanella	Flavobacterium columnare	1	1.233581138472396e-31	7.401486830834373e-32	1.0279842820603298e-31	['Animal_distal_gut']
Skermanella	Corynebacterium	1	8.831641246487292e-05	2.467162276944792e-32	9.812934718319212e-06	['Animal_distal_gut']
Skermanella	Streptococcus luteciae	1	4.934324553889584e-31	1.9737298215558336e-31	3.4540271877227086e-31	['Animal_distal_gut']
Skermanella	Adhaeribacter	1	0.0013533986570204	8.17651235015168e-07	0.0004874307656993	['Plant_surface']
Skermanella	Corynebacterium variabile	1	1.233581138472396e-31	4.934324553889584e-32	9.868649107779168e-32	['Animal_distal_gut']
Skermanella	Oscillospira	1	8.511709855459533e-30	3.404683942183813e-30	5.9581968988216735e-30	['Animal_distal_gut']
Skermanella	Geothrix	1	1.5789838572446672e-30	1.5789838572446672e-30	1.5789838572446672e-30	['Animal_distal_gut']
Skermanella	Clostridium perfringens	1	7.894919286223334e-31	7.894919286223334e-31	7.894919286223334e-31	['Animal_distal_gut']
Skermanella	Kaistobacter	1	3.947459643111667e-31	3.947459643111667e-31	3.947459643111667e-31	['Animal_distal_gut']
Skermanella	Actinomyces	1	1.480297366166875e-31	1.480297366166875e-31	1.480297366166875e-31	['Animal_distal_gut']
Skermanella	Nitrospira	1	4.934324553889584e-31	9.868649107779168e-32	3.1015754338734527e-31	['Animal_distal_gut']
Skermanella	Flavisolibacter	1	1.233581138472396e-31	4.934324553889584e-32	8.811293846231398e-32	['Animal_distal_gut']
Skermanella	Corynebacterium	1	8.882989713137567e-05	8.882989713137567e-05	8.882989713137567e-05	['Animal_distal_gut']
Skermanella	Flavobacterium	1	2.96059473233375e-31	9.868649107779168e-32	1.6653345369377343e-31	['Animal_distal_gut']
Skermanella	Mycoplana	1	2.309263891220331e-15	2.467162276944792e-32	3.8487731520338855e-16	['Animal_distal_gut']
Skermanella	Anaerococcus	1	5.251593681402757e-07	4.934324553889584e-32	6.564492101753446e-08	['Animal_distal_gut']
Skermanella	Rhodoplanes	1	0.0008270006698821	2.467162276944792e-32	6.8916722490175e-05	['Animal_distal_gut']
Skermanella	Pseudonocardia halophobica	1	3.4540271877227086e-31	1.7270135938613543e-31	2.5905203907920317e-31	['Plant_surface']
Skermanella	Rhodococcus	1	1.233581138472396e-31	2.467162276944792e-32	6.966105252550001e-32	['Plant_surface']
Skermanella	Rhodoplanes	1	1.480297366166875e-31	2.467162276944792e-32	8.747211709167899e-32	['Animal_distal_gut']
Skermanella	Novosphingobium	1	6.134386653104225e-05	6.134386653104225e-05	6.134386653104225e-05	['Animal_distal_gut']
Skermanella	Bradyrhizobium	1	3.947459643111667e-31	3.947459643111667e-31	3.947459643111667e-31	['Animal_distal_gut']
Pedomicrobium	Bosea genosp.	1	4.934324553889584e-32	4.934324553889584e-32	4.934324553889584e-32	['Sediment_(non-saline)']
Pedomicrobium	Devosia	1	1.233581138472396e-31	7.401486830834373e-32	9.868649107779168e-32	['Sediment_(non-saline)']
Skermanella	Anaerococcus	1	2.4424906541753487e-15	1.9737298215558336e-31	1.2212453270876746e-15	['Animal_distal_gut']
Skermanella	Paracoccus	1	1.233581138472396e-31	2.467162276944792e-32	8.018277400070572e-32	['Plant_surface']
Skermanella	Pseudonocardia	1	1.3174646558885237e-15	2.467162276944792e-32	1.4638496176539164e-16	['Plant_surface']
Pedomicrobium	Asticcacaulis biprosthecium	1	1.480297366166875e-31	2.467162276944792e-32	9.046261682130903e-32	['Sediment_(non-saline)']
Pedomicrobium	Paludibacter	1	4.934324553889584e-31	1.9737298215558336e-31	3.4540271877227086e-31	['Sediment_(non-saline)']
Pedomicrobium	Actinomyces	1	1.233581138472396e-31	1.233581138472396e-31	1.233581138472396e-31	['Sediment_(non-saline)']
Pedomicrobium	Stenotrophomonas	1	1.480297366166875e-31	2.467162276944792e-32	8.635067969306772e-32	['Sediment_(non-saline)']
Pedomicrobium	Kaistobacter	1	3.947459643111667e-31	3.947459643111667e-31	3.947459643111667e-31	['Sediment_(non-saline)']
Pedomicrobium	Clostridium bowmanii	1	3.947459643111667e-31	1.9737298215558336e-31	2.96059473233375e-31	['Sediment_(non-saline)']
Pedomicrobium	Candidatus Solibacter	1	8.635067969306771e-31	1.7270135938613543e-31	5.181040781584063e-31	['Sediment_(non-saline)']
Pedomicrobium	Lactobacillus	1	5.1316975360451684e-30	2.5658487680225835e-30	3.848773152033876e-30	['Sediment_(non-saline)']
Pedomicrobium	Actinomyces	1	1.9737298215558336e-31	1.9737298215558336e-31	1.9737298215558336e-31	['Sediment_(non-saline)']
Pedomicrobium	Nitrospira	1	7.314983148785857e-05	2.467162276944792e-32	9.143728935982322e-06	['Sediment_(non-saline)']
Skermanella	Pedobacter	1	9.868649107779168e-32	9.868649107779168e-32	9.868649107779168e-32	['Animal_distal_gut']
Skermanella	Candidatus Koribacter	1	5.921189464667501e-31	2.96059473233375e-31	4.194175870806146e-31	['Animal_distal_gut']
Skermanella	Methylibium	1	0.0018736342495995	2.467162276944792e-32	5.682232280975076e-06	['Animal_distal_gut']
Skermanella	Novosphingobium	1	5.107025913275719e-30	5.107025913275719e-30	5.107025913275719e-30	['Animal_distal_gut']
Skermanella	Veillonella dispar	1	9.868649107779168e-32	9.868649107779168e-32	9.868649107779168e-32	['Animal_distal_gut']
Skermanella	Prosthecobacter	1	5.921189464667501e-31	1.9737298215558336e-31	3.6185046728523613e-31	['Animal_distal_gut']
Skermanella	Pseudomonas	1	1.1842378929335e-30	1.1842378929335e-30	1.1842378929335e-30	['Animal_distal_gut']
Skermanella	Skermanella	1	1.5575314910234773e-05	5.181040781584063e-31	7.787657455117386e-06	['Plant_surface']
Skermanella	Desulfobulbus	1	1.5789838572446672e-30	1.5789838572446672e-30	1.5789838572446672e-30	['Animal_distal_gut']
Skermanella	Bacteroides	1	1.480297366166875e-31	2.467162276944792e-32	7.753938584683631e-32	['Animal_distal_gut']
Skermanella	Candidatus Solibacter	1	1.233581138472396e-31	2.467162276944792e-32	6.167905692361979e-32	['Animal_distal_gut']
Skermanella	Flavisolibacter	1	2.6645352591003752e-30	2.6645352591003752e-30	2.6645352591003752e-30	['Animal_distal_gut']
Skermanella	Blastococcus aggregatus	1	6.108267680876715e-05	3.4540271877227086e-31	2.0360892269593984e-05	['Plant_surface']
Skermanella	Hyphomicrobium	1	7.302800339756619e-16	2.467162276944792e-32	9.128500424695779e-17	['Plant_surface']
Skermanella	Dyadobacter	1	5.921189464667501e-31	2.96059473233375e-31	4.440892098500626e-31	['Animal_distal_gut']
Skermanella	Rhizobium	1	3.654592003329676e-05	2.467162276944792e-32	3.383547130526655e-06	['Plant_surface']
Skermanella	Luteolibacter	1	1.480297366166875e-31	7.401486830834373e-32	1.1662948945557198e-31	['Animal_distal_gut']
Skermanella	Rhodoplanes	1	2.2871884727542714e-06	2.467162276944792e-32	2.858985590942839e-07	['Plant_surface']
Skermanella	Janthinobacterium	1	4.934324553889584e-32	4.934324553889584e-32	4.934324553889584e-32	['Animal_distal_gut']
Skermanella	Catenibacterium	1	5.181040781584063e-31	3.4540271877227086e-31	4.317533984653386e-31	['Animal_distal_gut']
Skermanella	Methylibium	1	1.233581138472396e-31	7.401486830834373e-32	9.868649107779168e-32	['Animal_distal_gut']
Skermanella	Candidatus Solibacter	1	0.0001105439432222	2.467162276944792e-32	1.3806209326944516e-05	['Plant_surface']
Skermanella	Kocuria	1	1.480297366166875e-31	2.467162276944792e-32	7.625774310556628e-32	['Animal_distal_gut']
